Country Name,Country Code,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Cuba,CUB,79,73.72,81.47,99.13,83.15,102.07,98.03,94.14,140.38,106.8,98.13,102.99,107.91,106.26,112.18,121.64,140.58,144.46,134.4,142.71,145.2,144.72,154.2,148.72,150.72,147.68,154.19,158.38,158.07,146.8,127.52,93.78,93.63,88.2,105.06,98.78,94.37,110.62,123.49,119.35,118.53,115.98,116.75,93.75,89.5,93.5,96.52,100.26,94.09,98.97,100.57,103.21,,
Cayman Islands,CYM,118.8,111.5,122.6,139.4,223.47,227.23,227.29,231.78,232.21,232.75,234.64,235.73,226.94,235.62,237.5,238.05,232.62,237.57,254.7,239.32,248.8,288.34,236.12,237.41,174.84,212.71,124.75,224.06,125.74,100.63,118.85,111.48,122.61,139.36,135.27,136.36,141.02,144.16,153.1,163.12,148.84,173.18,104.06,94.43,101.51,95.61,86.55,104.12,105.31,109.74,113.16,112.56,,
Cyprus,CYP,52.64,48.41,48.42,64.84,67.32,78.83,81.55,88.88,86.4,96.75,95.59,78.93,78.3,64.56,70.69,71.52,74.42,79.2,80.69,83.16,83.82,87.06,90.99,89.26,86.92,89.74,97.23,103.49,98.14,85.3,95.51,102.77,93.34,109.45,106.57,100.5,106.14,108.15,108.27,104.88,107.92,103.99,108.63,97.99,93.37,91.93,89.59,85.28,84.4,87.67,83.03,81.4,,
Czech Republic,CZE,,126.4,101,102.6,102.4,100.3,103.1,102.4,97.78,101.21,96.11,88.38,106.78,98.37,94.86,95.72,101.44,97.94,91.3,,,,,,,,,,,,,127.9,102.48,105.16,105.63,102.48,104.37,104.13,99.53,102.59,96.33,88.65,104.52,98.63,96.84,98.02,104.1,98.46,92.17,95.51,89.2,92.29,,
Germany,DEU,74.68,79.49,77.06,74.67,79.42,86.5,87.49,84.24,88.66,87.52,87.32,88.98,92.71,89.74,89.37,92.98,97.83,99.54,98.96,98.99,104.89,101.72,107.32,107.08,111.51,107.45,109.24,108.93,108.57,102.24,96.69,93.88,91.03,93,95.45,95.72,97.17,101.61,102.76,102.32,98.89,94.88,103.4,99.51,97.09,100.18,103.57,105.76,104.09,105.85,106.96,107.37,,
Djibouti,DJI,13.78,14.23,14.54,14.82,16.05,16.76,18.02,19.38,20.12,21.04,22.17,22.16,23.65,24.03,26.97,26.4,27.85,36.58,46.79,45.25,45.57,53.2,58.42,68.65,74.05,76.2,79.3,95.57,93.71,70.04,73.95,70.72,73.34,78.86,71.65,74.92,76.89,78.23,84.93,85.8,97.86,97.04,93.44,95.31,111.25,137.28,141.54,126.54,118.55,132.33,134.5,134.4,,
Dominica,DMA,81.46,81.36,98.56,111.62,108.12,107.4,116.88,122.31,104.27,99.3,98.8,90.38,99.78,104.7,117.32,116.03,129.5,95.08,81.11,106.08,111.15,112.37,117.84,123.01,149.89,166.11,184.03,158.17,159.59,153.22,148.02,151.72,132.13,120.52,142.21,138.69,130.28,124.25,123.75,113.78,108.98,101.71,103.48,95,101.52,105.49,99.26,112.2,108.78,106.58,110.68,110,,
Denmark,DNK,70.49,68.94,69.95,71.12,70.08,69.78,71.39,67.88,64.7,65.96,65.25,66.41,72.34,69.83,69.7,75.69,77.01,79.97,79.32,79.59,84.19,82.77,89.9,88.54,87.81,85.21,87.41,89.89,94.74,94.04,91.13,97.67,93.95,96.95,95.9,97.37,99.26,98.13,98.45,99.54,99.41,99.76,101.14,101.53,97.33,100.96,103.85,104.1,102,105.07,104.62,102.62,,
Dominican Republic,DOM,46.32,44.89,46.3,42.55,45.4,45.45,45.08,52.16,54.43,57.96,59.33,61.7,63.04,60.46,66.17,66.57,68.18,67.21,67.43,68.56,72.69,75.41,74.72,71.97,72.57,75.3,75.59,78.63,69.36,73.24,74.79,76.9,74.9,75.5,78.42,80.53,78.21,78.67,83.99,92.1,94.88,93.58,93.48,99.25,107.28,111.13,105.45,117.96,129.96,124.41,128.52,135.52,,
Algeria,DZA,39.81,39.83,35.51,41.23,27.61,30.32,38.99,35.98,37.35,38.79,35.07,33.48,36.16,39.37,37.02,30.58,30.34,34.26,37.09,38.15,34.74,36.67,39.3,48.05,48.73,49.23,47.49,51.82,50.73,59.45,64.93,62.44,57.78,64.81,76.37,62.82,69.83,73.66,69.78,74.41,76.2,88.41,97.92,99.06,103.01,93.26,95.96,119.29,124.89,134.44,142.12,157.54,,
East Asia & Pacific (developing only),EAP,16.66335063,17.3317653,18.38490177,19.38180316,20.31856385,20.46568397,20.79909093,21.17116206,22.27060003,23.25132971,23.05435921,24.9799474,25.31684678,26.04423999,26.34511695,26.73342204,29.12462235,30.48118387,31.36496988,33.0537117,35.2721699,37.19878338,40.19040047,40.91538843,42.74626975,44.34805758,45.94416423,47.96342635,51.33565884,52.84358113,55.76909505,59.45054108,62.38298392,66.85221023,70.88495949,72.74256602,75.7672334,79.0540757,82.81953344,84.78047294,88.68273542,91.47471135,96.48915987,100.0251975,103.4856426,108.4398094,113.9467439,117.1497462,119.8368217,123.5952533,128.3208392,130.0231279,,
East Asia & Pacific (all income levels),EAS,20.03466642,20.81272771,22.04572518,23.00205907,24.13512158,24.31023189,25.05705463,25.41337978,26.51877269,27.48492792,27.59956673,29.51815791,29.64491138,30.68177446,31.27574767,31.93447426,34.48269324,35.76280984,35.9884537,37.79401201,39.73720458,41.96969816,44.68868627,45.56882145,47.30077612,48.73328696,50.30428916,52.10905587,55.15976273,56.44896908,59.52696733,62.79835835,65.50406148,69.80526651,73.7942995,75.56480003,78.22963405,81.45995502,84.84329353,86.7580454,89.68900488,92.55595748,96.9066592,100.2769905,102.8163503,107.5069877,112.7158092,115.6399659,117.7935706,121.3546071,126.1174581,127.6571017,,
Ecuador,ECU,28.01,28.27,33.6,35,32.43,31.41,33.7,33.68,33.59,32.72,31.94,31.86,35.08,35.58,36.09,37.17,35.55,35.52,37.81,36.93,46.02,39.33,42.62,43.92,45.69,46.59,51.41,53.47,56.69,59.54,63.99,68.1,75.17,76.84,82.36,94.45,82.03,92.06,92.84,94.81,92.6,94.81,99.51,97.52,102.97,104.99,111.54,115.9,122.68,123.72,118.9,115.47,,
"Egypt, Arab Rep.",EGY,20.8,21.54,21.58,21.79,22.44,21.94,24.42,25.57,25.61,26.55,27.09,27.32,27.89,29,29.92,29.13,30.02,31.66,31.97,32.24,34.42,35.68,35.84,38.34,41.74,44.04,43.36,44.5,53.84,54.99,59.09,61.13,61.86,67.3,73.52,76.18,76.47,81.25,85.19,82.26,87.32,92.58,95.66,98.26,106.08,110.41,116.08,116.65,108.21,112.32,118.37,118.73,,
